,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
527,2,300.0,98.0,1,2,1.5,4.71,1,1,34
528,2,1114.0,99.0,0,1,1.5,5.0,0,0,42
529,2,420.0,60.0,0,1,1.0,3.0,1,0,51
530,2,350.0,0.0,0,1,1.5,4.8,1,0,51
531,2,350.0,90.0,0,1,1.0,4.61,1,0,42
533,2,355.0,100.0,0,1,3.0,4.69,1,1,42
534,2,600.0,99.0,0,1,1.0,4.8,0,0,51
538,2,600.0,99.0,0,1,1.0,4.64,1,0,51
539,2,1114.0,99.0,0,2,1.0,4.8,0,0,51
540,2,1500.0,0.0,0,1,1.5,4.8,1,1,51
541,2,647.0,100.0,1,1,1.0,4.98,1,0,34
542,2,290.0,99.0,0,1,1.0,4.76,1,0,51
544,2,434.0,39.0,0,2,1.5,4.94,1,0,42
545,2,546.0,100.0,0,1,1.0,4.85,1,1,42
549,2,700.0,67.0,0,2,1.5,4.83,1,0,51
550,2,1114.0,99.0,0,2,1.5,4.8,0,0,42
551,2,376.0,0.0,0,2,1.0,4.8,1,0,51
552,2,350.0,67.0,0,1,1.5,5.0,1,0,51
553,2,1114.0,100.0,1,2,1.5,4.92,1,0,42
557,2,1114.0,87.0,0,1,2.0,4.36,1,0,53
558,2,627.0,67.0,0,2,1.5,4.76,1,0,47
559,2,1114.0,100.0,0,1,1.5,4.58,1,1,42
574,2,1114.0,99.0,0,2,1.0,5.0,0,0,42
578,2,9605.0,33.0,0,16,10.0,4.75,1,1,34
579,2,550.0,100.0,1,1,1.0,5.0,1,0,42
580,2,477.0,87.0,1,1,1.5,4.93,1,0,42
582,2,700.0,67.0,0,2,1.5,4.75,1,0,51
583,2,430.0,89.0,0,1,1.0,4.89,1,0,51
584,2,454.0,100.0,0,1,1.5,4.56,1,0,51
597,2,350.0,0.0,0,1,1.0,4.8,1,0,51
602,2,329.0,99.0,0,2,1.0,4.8,1,0,51
603,2,588.0,93.0,1,1,1.0,5.0,1,0,34
607,2,500.0,71.0,0,2,1.0,4.91,1,0,42
609,2,515.0,99.0,1,2,2.0,4.97,1,0,42
611,2,1114.0,99.0,0,2,2.0,4.69,0,0,51
616,2,990.0,99.0,0,2,2.0,4.33,1,0,51
617,2,850.0,86.0,0,2,1.0,4.89,1,0,42
619,2,300.0,71.0,0,1,1.0,4.76,1,0,42
620,2,850.0,98.0,0,2,1.0,4.96,1,0,34
626,2,5891.0,100.0,0,2,1.0,4.95,1,1,42
629,2,469.0,100.0,0,2,3.0,4.69,1,1,42
630,2,440.0,99.0,0,1,1.5,1.0,0,0,51
639,2,410.0,100.0,1,2,1.5,4.72,1,0,42
642,2,689.0,97.0,1,2,1.0,4.97,1,0,51
643,2,736.0,99.0,0,1,1.0,4.8,1,0,51
644,2,610.0,91.0,0,1,1.0,4.88,1,0,34
645,2,510.0,91.0,0,1,1.0,4.89,1,0,34
646,2,1114.0,99.0,0,1,1.0,5.0,1,0,51
647,2,300.0,0.0,0,1,1.0,4.0,1,0,42
650,2,1114.0,99.0,0,1,2.0,4.92,1,0,34
654,2,350.0,90.0,0,1,1.0,4.58,1,0,42
656,2,255.0,73.0,0,1,1.0,4.86,1,0,34
657,2,1114.0,99.0,0,1,1.0,4.8,0,0,42
660,2,500.0,86.0,1,2,1.5,4.95,1,0,31
664,2,390.0,99.0,0,2,1.0,5.0,1,0,51
666,2,1114.0,54.0,0,7,1.0,4.71,1,0,51
667,2,780.0,99.0,0,2,1.0,4.93,1,0,51
670,2,2831.0,100.0,0,7,2.5,5.0,1,0,42
672,2,1279.0,68.0,1,2,1.5,4.99,1,0,34
683,2,1114.0,99.0,0,2,1.0,4.8,0,0,42
684,2,1114.0,82.0,0,2,1.0,4.73,1,0,51
685,2,1114.0,99.0,0,1,1.0,4.8,0,0,42
687,2,1114.0,99.0,0,1,2.0,4.8,0,0,51
688,2,550.0,95.0,0,2,1.0,4.71,1,0,40
691,2,350.0,100.0,1,1,1.0,4.65,1,0,51
697,2,1891.0,96.0,1,2,1.0,4.99,1,0,47
701,2,650.0,54.0,0,3,1.0,4.94,1,0,42
706,2,971.0,99.0,1,3,1.0,4.86,1,1,51
707,2,749.0,100.0,0,2,1.0,4.73,1,1,41
708,2,280.0,89.0,1,1,1.0,5.0,1,0,51
713,2,400.0,9.0,0,2,1.0,4.72,1,0,51
718,2,1114.0,96.0,0,1,3.0,4.62,1,0,34
719,2,230.0,79.0,1,1,1.0,4.67,1,0,42
720,2,230.0,79.0,1,1,1.0,4.85,1,0,42
722,2,607.0,0.0,0,1,1.0,4.8,1,0,51
724,2,1450.0,100.0,0,6,2.0,4.95,1,1,42
727,2,800.0,50.0,0,2,1.5,5.0,1,0,51
728,2,600.0,100.0,1,2,1.5,4.94,1,0,42
733,2,1114.0,99.0,0,1,1.0,5.0,1,1,58
734,2,1000.0,99.0,0,3,1.5,5.0,1,0,42
736,2,1114.0,100.0,0,2,1.5,4.56,1,1,42
737,2,1114.0,100.0,0,2,1.5,4.59,1,1,42
738,2,270.0,0.0,0,1,1.0,4.45,1,0,51
741,2,236.0,100.0,1,2,1.0,5.0,1,0,51
742,2,1114.0,99.0,0,1,1.0,4.8,0,0,51
752,2,682.0,0.0,0,1,2.5,4.8,1,0,42
753,2,506.0,93.0,1,2,1.5,4.49,1,0,58
754,2,370.0,89.0,1,1,1.5,4.93,1,0,51
755,2,1114.0,99.0,0,2,1.5,5.0,0,0,42
761,2,1114.0,99.0,0,1,1.0,4.8,0,0,42
769,2,250.0,100.0,1,2,1.0,4.94,1,1,42
770,2,1114.0,99.0,0,2,1.0,5.0,0,0,42
771,2,406.0,100.0,1,1,1.0,4.84,1,0,51
773,2,400.0,44.0,1,1,1.0,4.71,1,0,34
777,2,700.0,0.0,0,2,1.0,4.4,1,0,42
778,2,1114.0,100.0,0,4,1.0,4.9,1,0,51
779,2,780.0,99.0,1,2,1.0,4.99,1,0,29
783,2,550.0,67.0,0,3,1.0,4.97,1,0,51
784,2,1114.0,99.0,0,1,1.0,4.8,0,0,51
785,2,377.0,100.0,0,2,1.0,4.31,1,1,51
786,2,534.0,99.0,0,1,1.0,4.91,1,0,51
788,2,1114.0,100.0,0,2,1.0,4.56,1,1,42
795,2,290.0,0.0,0,2,1.0,4.4,1,0,51
797,2,1114.0,17.0,0,2,1.0,5.0,1,0,53
799,2,500.0,92.0,0,2,1.5,4.95,1,0,42
801,2,688.0,99.0,0,1,1.0,4.64,1,0,34
803,2,850.0,19.0,0,3,2.0,4.91,1,0,51
806,2,10161.0,33.0,0,16,7.0,4.8,1,0,29
807,2,13144.0,33.0,0,16,7.0,4.8,1,0,29
808,2,428.0,97.0,1,2,1.0,4.99,1,0,34
809,2,229.0,100.0,1,1,1.0,4.59,1,0,42
814,2,590.0,33.0,0,2,1.0,4.98,1,0,51
815,2,350.0,100.0,1,2,1.0,4.74,1,1,51
817,2,404.0,36.0,0,2,3.0,4.76,1,0,42
818,2,1114.0,100.0,1,2,3.0,4.91,1,1,42
825,2,1114.0,99.0,0,2,3.0,4.8,0,0,51
827,2,594.0,99.0,0,2,2.0,4.97,1,1,42
829,2,809.0,100.0,1,2,1.0,4.81,1,0,51
832,2,1114.0,99.0,0,1,1.5,4.88,1,0,51
833,2,463.0,100.0,0,2,3.0,4.57,1,1,42
834,2,9100.0,33.0,0,16,7.0,4.8,1,0,29
835,2,11122.0,33.0,0,16,10.0,5.0,1,0,29
836,2,855.0,100.0,1,2,1.0,4.86,1,0,42
837,2,809.0,100.0,1,2,1.0,4.79,1,0,42
838,2,600.0,100.0,1,2,1.0,4.86,1,0,51
840,2,392.0,100.0,0,2,3.0,4.63,1,1,42
843,2,1114.0,99.0,0,1,1.0,4.8,0,0,51
844,2,1114.0,99.0,0,2,1.0,4.8,0,0,51
849,2,1114.0,99.0,0,8,1.0,4.8,1,0,66
852,2,1000.0,99.0,0,1,1.5,5.0,1,0,51
855,2,650.0,100.0,1,2,1.0,4.93,1,0,51
856,2,662.0,100.0,1,2,1.0,4.52,1,0,51
857,2,990.0,52.0,0,2,0.0,5.0,1,0,51
859,2,1114.0,99.0,0,1,2.5,4.87,1,0,42
860,2,1114.0,99.0,0,1,2.5,4.8,0,0,51
861,2,7077.0,33.0,0,16,7.0,4.8,1,0,29
864,2,430.0,67.0,0,2,0.0,4.48,1,0,34
867,2,1114.0,99.0,0,2,2.0,4.8,0,0,34
872,2,1114.0,79.0,0,1,1.0,4.94,1,0,51
875,2,2050.0,15.0,0,2,1.0,4.94,1,0,53
878,2,1114.0,99.0,0,1,1.0,5.0,1,0,51
880,2,379.0,100.0,0,2,3.0,4.57,1,1,42
881,2,414.0,100.0,0,1,1.0,4.75,1,0,51
882,2,454.0,94.0,1,1,1.0,4.48,1,1,34
883,2,380.0,0.0,0,1,1.0,5.0,1,0,34
891,2,410.0,100.0,1,2,1.5,4.66,1,1,42
898,2,1114.0,99.0,0,2,1.0,4.8,0,0,51
905,2,445.0,42.0,1,1,1.0,4.29,1,0,51
907,2,357.0,100.0,0,1,1.0,5.0,1,0,51
915,2,1114.0,99.0,0,2,2.0,5.0,0,0,51
920,2,800.0,89.0,0,2,1.5,4.84,1,0,51
922,2,1114.0,99.0,0,2,1.0,4.8,0,0,42
924,2,500.0,74.0,1,2,1.5,4.8,1,0,42
931,2,4000.0,99.0,0,2,1.0,4.67,1,0,51
932,2,1114.0,99.0,0,1,1.0,4.5,0,0,51
942,2,4044.0,100.0,0,2,1.0,5.0,1,0,63
943,2,1114.0,99.0,0,2,1.0,4.86,1,1,51
951,2,709.0,100.0,1,2,1.0,4.89,1,1,51
952,2,450.0,91.0,1,2,1.5,4.97,1,0,42
957,2,450.0,91.0,1,2,1.5,4.96,1,0,42
958,2,800.0,100.0,0,2,1.0,4.89,1,0,51
959,2,1114.0,29.0,0,2,1.0,4.96,1,0,51
961,2,12032.0,33.0,0,16,20.0,4.8,1,1,34
968,2,700.0,92.0,0,2,1.0,4.94,1,0,42
969,2,410.0,92.0,1,1,1.0,4.42,1,0,51
973,2,1011.0,99.0,0,2,1.0,4.82,1,0,27
977,2,2050.0,15.0,0,2,1.0,4.69,1,0,34
978,2,550.0,87.0,0,1,1.0,4.87,1,0,51
979,2,629.0,67.0,0,1,1.0,3.5,1,0,51
980,2,2050.0,15.0,0,2,1.0,4.67,1,0,42
982,2,1114.0,15.0,0,2,1.0,4.9,1,0,53
986,2,809.0,100.0,0,2,1.0,4.97,1,0,34
992,2,480.0,0.0,0,2,1.5,4.8,1,0,34
993,2,300.0,100.0,1,1,1.5,4.75,1,0,42
995,2,700.0,67.0,0,2,1.0,4.86,1,0,51
996,2,888.0,100.0,0,3,1.0,4.64,1,0,51
997,2,380.0,96.0,1,2,1.0,4.89,1,0,42
998,2,601.0,100.0,1,2,1.0,4.97,1,1,51
1001,2,1114.0,25.0,0,2,1.0,4.5,1,0,41
1004,2,809.0,99.0,0,1,1.0,4.8,0,0,51
1005,2,350.0,83.0,1,1,1.0,4.88,1,0,40
1007,2,585.0,100.0,1,2,1.0,5.0,1,0,34
1011,2,200.0,68.0,0,1,1.0,4.86,1,0,42
1014,2,2050.0,15.0,0,2,1.0,4.43,1,0,53
1015,2,2050.0,15.0,0,2,1.0,4.57,1,0,53
1016,2,2050.0,15.0,0,2,1.0,4.86,1,0,42
1017,2,2050.0,15.0,0,2,1.0,4.85,1,0,53
1021,2,400.0,99.0,0,2,1.0,5.0,1,0,51
1022,2,2050.0,15.0,0,2,1.0,5.0,1,0,42
1023,2,1750.0,15.0,0,2,1.0,4.0,1,0,42
1024,2,1480.0,15.0,0,2,1.0,4.87,1,0,53
1025,2,2050.0,15.0,0,2,1.0,4.95,1,0,53
1026,2,310.0,99.0,0,2,1.0,4.65,1,0,42
1027,2,319.0,99.0,0,2,1.0,4.44,1,0,42
1032,2,1114.0,15.0,0,2,1.0,5.0,1,0,42
1035,2,400.0,99.0,0,2,1.0,4.45,1,1,51
1040,2,700.0,0.0,0,5,1.0,4.53,1,0,42
1047,2,2050.0,15.0,0,2,1.0,4.8,1,0,27
1048,2,1893.0,15.0,0,2,1.0,4.71,1,0,53
1050,2,645.0,0.0,0,1,1.0,4.85,1,0,42
1054,2,492.0,95.0,0,2,1.0,4.8,1,0,51
1055,2,500.0,100.0,1,1,1.0,4.88,1,0,42
1060,2,910.0,0.0,0,2,1.0,4.7,1,0,51
1063,2,1114.0,99.0,0,2,2.0,4.8,0,0,58
1064,2,910.0,99.0,0,1,1.0,4.8,1,0,51
