,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
655,2,118.0,100.0,1,1,2.0,4.92,0,0,44
656,2,55.0,97.0,0,1,1.0,4.08,0,0,57
659,2,70.0,100.0,1,1,1.0,4.11,1,1,57
660,2,131.0,100.0,0,1,1.0,4.76,1,1,57
662,2,131.0,87.0,1,2,1.0,4.93,1,0,62
669,2,125.0,97.0,0,1,1.0,5.0,0,0,50
671,2,250.0,93.0,1,4,1.0,4.93,1,0,50
674,2,126.0,97.0,0,2,1.0,4.8,1,0,50
675,2,199.0,96.0,1,2,1.0,4.29,1,0,50
677,2,75.0,96.0,1,2,1.0,4.76,1,0,50
684,2,95.0,20.0,0,1,1.0,5.0,1,0,50
690,2,85.0,77.0,0,2,1.0,4.84,1,0,50
691,2,46.0,80.0,0,2,11.0,4.5,1,0,70
693,2,150.0,97.0,0,1,11.0,4.73,1,0,57
694,2,85.0,100.0,0,1,1.5,5.0,1,0,50
695,2,143.0,97.0,0,1,1.0,4.8,1,0,57
700,2,150.0,97.0,0,2,1.0,4.88,1,0,62
702,2,59.0,50.0,1,1,1.0,4.41,1,0,57
703,2,75.0,43.0,0,1,1.5,5.0,0,0,43
710,2,150.0,50.0,0,1,1.0,4.8,1,0,50
713,2,150.0,97.0,0,1,1.0,4.89,1,0,50
716,2,50.0,100.0,0,2,1.0,4.69,1,0,35
720,2,116.0,0.0,0,1,1.0,4.73,1,0,50
722,2,53.0,97.0,0,1,2.0,3.87,1,0,57
726,2,99.0,93.0,1,2,1.0,4.85,1,0,48
727,2,109.0,90.0,0,2,1.0,4.98,1,0,48
730,2,125.0,100.0,1,1,1.0,4.69,1,0,50
736,2,111.0,55.0,0,1,1.0,4.75,1,0,50
739,2,150.0,97.0,0,1,1.0,4.8,1,0,50
744,2,68.0,97.0,0,2,1.0,4.69,1,0,57
745,2,49.0,20.0,0,1,1.0,4.63,1,0,50
753,2,55.0,50.0,0,2,2.0,4.17,1,0,57
760,2,150.0,97.0,0,1,1.0,4.8,1,0,57
762,2,150.0,97.0,0,1,4.5,4.5,1,0,57
765,2,150.0,76.0,0,2,2.0,4.56,1,0,50
766,2,72.0,87.0,0,2,1.0,4.39,1,0,72
770,2,134.0,72.0,1,4,1.0,4.94,1,0,50
778,2,64.0,75.0,1,1,1.0,4.44,1,0,50
780,2,200.0,97.0,0,2,1.0,4.8,1,0,57
781,2,55.0,93.0,1,1,1.0,4.92,1,0,50
783,2,95.0,100.0,0,2,1.5,5.0,1,0,50
784,2,150.0,97.0,0,4,1.5,4.85,1,0,50
786,2,65.0,71.0,1,2,1.0,5.0,1,0,50
799,2,100.0,100.0,0,2,1.0,4.99,1,1,50
800,2,100.0,100.0,0,2,1.0,4.91,1,1,50
810,2,133.0,86.0,1,2,1.0,4.93,1,0,50
818,2,80.0,0.0,0,1,1.0,4.78,1,0,57
820,2,150.0,97.0,0,2,2.0,4.84,1,0,57
824,2,158.0,91.0,1,2,1.0,4.8,1,0,50
826,2,85.0,100.0,1,1,1.0,4.75,1,0,57
829,2,150.0,97.0,0,2,1.0,4.8,0,0,57
830,2,99.0,100.0,1,2,1.0,4.88,1,0,35
834,2,52.0,43.0,1,1,1.5,5.0,1,0,62
839,2,42.0,100.0,0,2,1.0,4.91,1,0,50
845,2,150.0,97.0,0,1,1.0,4.84,1,0,62
854,2,90.0,97.0,0,2,1.0,4.8,1,0,57
863,2,65.0,50.0,0,1,1.0,4.91,1,0,62
869,2,95.0,100.0,1,2,2.5,4.86,1,0,50
872,2,150.0,97.0,0,1,1.0,4.8,1,0,50
874,2,120.0,97.0,0,2,1.0,4.5,1,0,35
875,2,120.0,97.0,0,2,1.0,4.6,1,0,35
876,2,53.0,100.0,0,2,1.0,4.93,1,0,50
881,2,150.0,97.0,0,2,1.0,4.8,1,0,50
884,2,65.0,100.0,0,2,1.0,4.57,1,0,62
891,2,73.0,87.0,1,1,1.0,4.91,1,0,50
896,2,76.0,97.0,0,2,1.0,4.85,1,0,57
901,2,46.0,80.0,0,2,11.5,4.23,1,0,70
904,2,140.0,83.0,1,2,1.0,4.98,1,0,35
909,2,110.0,96.0,0,2,1.0,4.8,1,0,43
911,2,65.0,0.0,0,1,1.0,4.0,1,0,57
921,2,80.0,100.0,1,2,2.0,4.87,1,1,50
922,2,43.0,88.0,0,1,1.0,4.39,1,0,50
925,2,106.0,100.0,1,4,1.0,4.91,1,0,43
928,2,125.0,90.0,0,1,1.0,4.36,1,0,63
932,2,65.0,97.0,0,1,1.0,4.56,1,0,62
936,2,150.0,100.0,1,4,4.5,5.0,1,0,50
937,2,88.0,99.0,1,2,1.0,4.95,1,0,50
939,2,80.0,97.0,0,2,1.0,5.0,1,0,57
944,2,149.0,0.0,0,2,1.0,4.73,0,0,50
946,2,89.0,100.0,0,2,1.0,4.77,1,0,43
951,2,150.0,97.0,0,1,1.0,4.8,1,0,50
952,2,150.0,97.0,0,2,1.0,4.0,1,0,57
953,2,135.0,97.0,0,2,1.5,5.0,1,0,50
962,2,89.0,92.0,1,1,1.0,4.99,1,0,50
968,2,200.0,97.0,0,2,1.0,4.91,1,0,43
970,2,55.0,100.0,0,1,2.0,4.63,1,0,57
973,2,65.0,31.0,0,2,1.0,4.52,1,0,50
974,2,45.0,100.0,1,2,1.0,4.99,1,0,50
977,2,72.0,0.0,0,1,1.0,4.36,1,0,50
984,2,150.0,97.0,0,2,2.0,4.8,0,0,50
987,2,150.0,97.0,0,2,1.0,4.8,1,0,57
993,2,60.0,83.0,1,2,3.5,4.86,1,0,57
997,2,140.0,97.0,0,2,1.0,4.8,1,0,50
1000,2,65.0,0.0,0,1,1.0,4.89,1,0,50
1006,2,160.0,97.0,0,2,1.0,4.84,1,0,50
1010,2,68.0,87.0,1,1,1.0,4.96,1,0,50
1015,2,150.0,97.0,0,1,3.0,5.0,1,0,57
1016,2,150.0,97.0,0,4,3.0,5.0,1,0,50
1024,2,125.0,95.0,1,2,1.0,4.98,1,0,43
1025,2,99.0,100.0,1,2,2.0,4.93,1,0,50
1026,2,75.0,79.0,0,2,2.0,5.0,1,0,53
1031,2,295.0,97.0,0,2,1.0,5.0,1,0,50
1032,2,150.0,97.0,0,2,1.0,4.8,1,0,57
1037,2,85.0,97.0,0,2,1.0,4.86,1,0,57
1038,2,110.0,77.0,0,2,1.0,4.85,1,0,50
