,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
673,0,1693.0,80.0,0,6,1.0,4.36,1,0,19
674,0,1329.0,100.0,1,2,1.0,4.98,1,0,17
675,0,1177.0,99.0,0,2,1.0,4.7,1,1,17
676,0,1114.0,99.0,0,4,1.0,4.8,0,0,19
677,0,1114.0,67.0,0,4,1.0,5.0,1,0,20
678,0,1114.0,99.0,0,6,1.0,4.93,1,0,19
679,0,2427.0,99.0,0,4,2.5,5.0,1,0,19
680,0,890.0,100.0,1,1,1.0,5.0,1,0,19
681,0,2564.0,99.0,0,6,2.0,4.82,1,0,13
682,0,1135.0,99.0,0,2,1.0,4.71,1,0,19
686,0,2081.0,100.0,1,5,2.0,4.95,1,0,20
689,0,351.0,83.0,1,2,1.0,4.89,1,0,9
690,0,1328.0,100.0,1,2,1.0,4.93,1,0,19
692,0,1114.0,99.0,0,6,1.0,4.8,0,0,19
693,0,1200.0,92.0,0,2,1.0,4.96,1,0,9
694,0,748.0,100.0,0,2,1.0,4.69,1,1,19
695,0,2282.0,99.0,1,4,2.0,4.98,1,1,19
696,0,1611.0,97.0,0,4,2.0,4.89,1,1,19
698,0,1114.0,99.0,0,2,1.0,4.92,1,1,17
699,0,991.0,100.0,1,2,1.0,4.91,1,1,17
700,0,850.0,54.0,0,5,2.0,4.62,1,0,9
702,0,1017.0,98.0,0,4,1.0,4.9,1,1,17
703,0,1193.0,100.0,1,2,1.0,4.83,1,1,19
704,0,445.0,100.0,0,4,1.0,4.62,1,1,17
705,0,634.0,98.0,1,5,2.0,4.86,1,0,19
709,0,785.0,100.0,1,2,1.0,4.92,1,0,11
710,0,1114.0,95.0,1,6,1.0,4.82,1,0,9
711,0,829.0,100.0,0,2,1.0,4.7,1,1,19
712,0,1850.0,67.0,0,2,1.0,4.95,1,0,9
714,0,1050.0,100.0,0,2,1.0,4.91,1,1,19
715,0,1100.0,100.0,0,2,1.0,4.88,1,0,19
716,0,870.0,91.0,0,2,1.0,4.71,1,0,17
